Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Refugee population by country or territory of asylum,SM.POP.REFG,Middle East & North Africa (IDA & IBRD countries),TMN,5946479,6404635,6287042,4748140,4588233,4482052,4516020,4524592,4554336,4536926,4654526,4729916,4308958,3948359,4066231,4004618,5235152,6149898,5860754,5924201,5926480,5479059,5325221,6400261,6947611,6782923,6751250,..
Refugee population by country or territory of asylum,SM.POP.REFG,Middle income,MIC,13631083,13453626,13351987,11297001,10346840,10117015,9980568,9824282,9760921,9915942,10659232,10911414,9356228,8666758,8913358,8595742,9813902,12190820,11526394,11949808,12297137,11645466,11706377,13172974,15160147,16207719,16307737,..
Refugee population by country or territory of asylum,SM.POP.REFG,North America,NAC,619648,684798,763675,806310,817614,775419,745459,689021,653340,644459,635213,645077,615121,585642,562252,526511,995325,456960,453199,444895,430123,429646,425779,424011,416385,409090,370209,..
Refugee population by country or territory of asylum,SM.POP.REFG,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,OECD members,OED,2524748,2608996,3206578,3162097,3215602,3088919,3109602,2831407,2618141,2640137,2517292,2560550,2621312,2531902,2401513,2176330,2557580,1927171,1959893,1985690,1961424,1936550,2195433,2178957,3268743,4453420,5319357,..
Refugee population by country or territory of asylum,SM.POP.REFG,Other small states,OSS,126470,152419,100668,107785,63121,53378,51840,51743,48853,72906,92889,89995,80787,80923,67405,46113,59204,60847,82213,83033,77408,73311,67138,68187,65122,58067,58509,..
Refugee population by country or territory of asylum,SM.POP.REFG,Pacific island small states,PSS,..,..,..,..,..,2009,2009,800,210,..,..,..,..,..,..,..,2,3,4,18,5,10,12,11,406,524,495,..
Refugee population by country or territory of asylum,SM.POP.REFG,Post-demographic dividend,PST,2152345,2221997,3224640,3376934,3337810,3271536,3268626,2911236,2662696,2707660,2554678,2595535,2639652,2548727,2421713,2182983,2560182,1922487,1941575,1958387,1922196,1878184,1876410,1520633,1645640,1890363,2427682,..
Refugee population by country or territory of asylum,SM.POP.REFG,Pre-demographic dividend,PRE,4602253,4276421,4645842,5196562,6064120,5289931,3785179,2991666,2914522,3098781,3233341,2921098,2923857,2596168,2501965,2350967,2209668,2104357,1940231,1863476,1930789,2305607,2423834,2663295,3441467,3974334,4449213,..
Refugee population by country or territory of asylum,SM.POP.REFG,Small states,SST,157127,182392,121535,116869,72058,64168,62456,61038,52663,75934,94277,91124,81836,81784,68137,46737,59694,61231,82528,83345,77633,73481,67262,68292,65672,58788,59117,..
Refugee population by country or territory of asylum,SM.POP.REFG,South Asia,SAS,3486713,3379092,2288041,2078511,1572419,1625466,1612369,1576598,1536385,1532217,2323287,2521487,1550780,1432566,1599141,1371649,1357511,2355038,2119005,2263369,2411160,2193338,2127370,2099360,2277358,2285506,1912183,..
Refugee population by country or territory of asylum,SM.POP.REFG,South Asia (IDA & IBRD),TSA,3486713,3379092,2288041,2078511,1572419,1625466,1612369,1576598,1536385,1532217,2323287,2521487,1550780,1432566,1599141,1371649,1357511,2355038,2119005,2263369,2411160,2193338,2127370,2099360,2277358,2285506,1912183,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sub-Saharan Africa,SSF,5641625,5008974,5234269,6155625,6490186,5743448,4131880,3279652,3138336,3316430,3413307,3070183,3058339,2836859,2730803,2561600,2412742,2295000,2124149,2089538,2195568,2699553,2835828,3005712,3745950,4471440,5190933,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sub-Saharan Africa (excluding high income),SSA,5641625,5008974,5234269,6155625,6490186,5743448,4131880,3279652,3138336,3316430,3413307,3070183,3058339,2836859,2730803,2561600,2412742,2295000,2124149,2089538,2195568,2699553,2835828,3005712,3745950,4471440,5190933,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sub-Saharan Africa (IDA & IBRD countries),TSS,5641625,5008974,5234269,6155625,6490186,5743448,4131880,3279652,3138336,3316430,3413307,3070183,3058339,2836859,2730803,2561600,2412742,2295000,2124149,2089538,2195568,2699553,2835828,3005712,3745950,4471440,5190933,..
Refugee population by country or territory of asylum,SM.POP.REFG,Upper middle income,UMC,5771716,5932136,6410842,4521166,3988303,3856299,3937876,3806436,3612593,3518911,3247181,3245304,2672783,2210461,2289000,2118227,2238548,2749579,2613922,2737706,2728747,2512562,2931448,4210190,5877925,6778292,6917905,..
Refugee population by country or territory of asylum,SM.POP.REFG,World,WLD,19805688,19414923,20023531,18718993,18325596,17418028,16102005,14934398,14552205,14863846,15451236,15643310,14265347,13437842,13530667,12863676,14326136,15953753,15161622,15163210,15516350,15202527,15417874,16729328,19535060,21377887,22523968,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/16/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
